cam,,,,,,,,,
,COUNTRY,VISA TYPE,DETAILS,REQUIREMENTS,PROCESSING TIME ,SALARY (JOB OFFER),NO OF YEARS (CONTRACT),COST,PACKAGE INCLUSIONS
,AUSTRALIA,Visit visa,,Passport biopage ,3 to 4 weeks ,,2 years contract,6000 USD,Visit visa
,,,,Passport picture with white background,,,,,
,,,,Birth certificate ,,,,,
,,,,Ghana card ,,,,,
,,,,,,,,,
,CANADA,Work,,Passport,10 months,,2 years contract,,
,,,,Digital passport photo,,,,,
,,,,Detailed CV,,,,,
,,,,Parents and spouse,,,,,
,,,,ID copies,,,,,
,,,,Bank statements,,,,,
,,,,Business records,,,,,
,,,,Police report,,,,,
,,,,Marriage certificate,,,,,
,,,,Travel history,,,,,
,,,,,,,,,
,USA,G2 VISA,,,3 to 4 weeks ,700 Euros - 1200 Euros,2 or 3 years contract,1600 USD,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,BELARUS,Work,Warehouse,Passport,3 to 4 weeks, 700 Euros - 1200Euros ,2 years contract,4000 Euros,Accommodation
,,,Factory,Passport photo with white background,,"(10,732 cedis- 18,398 cedis)",,,Food
,,,Construction,Birth certificate,,,,,Transport
,,,Security jobs,,,,,,
,,,Chefs,,,,,,
,,,,,,,,,
,KUWAIT ,Work,,,3 to 4 weeks ,130kd to 170kd,2 years contract,"18,000 cedis",
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,SINGAPORE,Work,Security guard,Passport,3 to 4 weeks,"3,500 dollars",3 years contract,"80,000 cedis",Employment letter
,,,Cleaning ,Two passport pictures,,,,,Entry permit
,,,Driving,,,,,,IPA (work permit)
,,,,,,,,,Flight ticket
,,,,,,,,,
,,,,,,,,,
,FINLAND ,Work,Religious conference,Passport ,,,2 to 3 years contract,deposit for all other documentation,Conference registration
,,,,Passport picture,,,,"500 euros, security deposit of 1000",Visa assistance 
,,,,Employment letter,,,,"euros before submission, ",Hotel accomodation
,,,,Payslips and bank,,,,"when visa is ready, the remaining  ",Breakfast
,,,,"Statement with at least 90,000 cedis closing balance",,,,amount of 2000 euros must be paid,Travel insurance
,,,,,,,,,Visa and biometric fee
,,,,,,,,,Vfs booking fee
,,,,,,,,,Airport transfer
,,,,,,,,,
,QATAR ,Work,,,1 to 5 days,1300 to 1500 QAR,2 years contract,"35,000 cedis",Food and accommodation
,,,,,,,,,"Ticket, medical insurance"
,,,,,,,,,
,,,,,,,,,
,JORDAN ,Work,Restaurant work,Passport,1 to 5 days ,500- 700 dollars,2 years contract,"32,000 cedis",Accommodation
,,,,Passport picture,,,,,Food
,,,,,,,,, Visa and ticket
,,,,,,,,,
,KAZAKHSTAN,Work,Security,Passport,2 to 3 weeks,$600 to 800,2 years contract,Teachers salary 1000 dollar,
,,,Cleaners,Passport photo,,,,,
,,,Bakers,,,,,,
,,,,,,,,,
,UK,Work,,,2 to 3 months,,5 YEARS CONTRACT FOR NURSES,5000 pounds,"OSCE fees, documentations,visa, jobs, accommodation"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,DENMARK ,Work,Warehouse,Passport ,3 to 4 months ,2500 - 3500 Euros ,3 years contract,"8,000 Euros ",Half deposit and memorandum of understanding signed 
,,,Cleaners ,Digital passport ,,,,,before starting 
,,,Fruit packers,photo ,,,,,Can go with dependant 
,,,,Detailed CV,,,,,Covers ticket for only main applicant
,,,,Parents and spouse ,,,,,Covers accommodation 
,,,,ID copies,,,,,Lunch provided
,,,,Children ID copies ,,,,,
,,,,Bank statement ,,,,,
,,,,Police report ,,,,,
,,,,Marriage certificate,,,,,
,,,,Travel history,,,,,
,,,,,,,,,
,GERMANY ,Work,,Passport ,2 to 4 months ,"2600 to 6,000 Euros",2 years contract,"8,000 Euros",All documentations 
,,,,Nursing certificates ,,,,,Visa
,,,,B1\B2 level in Ger,,,,,
,,,,man language ,,,,,
,,,,,,,,,
,,,,,,,,,
,DUBAI,Work,,Police report,4 to 6 weeks,"1800 aed plus overtime allowance (7,568 cedis)",2 years contract,,"Visa, job, ticket"
,,,,Ghana card ,,,,,Medical insurance
,,,,Passport copy ,,,,,Accommodation
,,,,Passport pic white background,,,,,
,,,,Video of introduction ,,,,,
,,,,,,,,,
,,,,,,,,,
,DUBAI,Work,Construction,Passport,4 to 6 weeks,"3500 to 4,000 cedis",2 years contract,"18,000 cedis",Over time comes with allowance
,,,Tilers\Steel fixers,Passport photo,,,,,
,,,Electricians,,,,,,
,,,,,,,,,
,,,,,,,,,
,DUBAI,Work,Security job,Passport,4 to 6 weeks,5500 cedis before Sira.,2 years contract,"28,000",
,,,,,,"8,000 cedis after Sira",,,
,,,,,,,,,
,,,,,,,,,
,DUBAI,Work,Dispatch ,Passport,4 to 6 weeks,"8,000 cedis plus commission on each delivery",2 years contract,"30,000 cedis",
,,,Delivery riders,,,,,,
,,,,,,,,,
,,,,,,,,,
,DUBAI,Work,Warehouse job,Passport,4 to 6 weeks,"4,000 to 6,000 cedis plus overtime allowance",,"26,000 cedis",
,,,Cleaners ,,,,,,
,,,,,,,,,
,,,,,,,,,
,DUBAI,Work,Cleaners,Passport,4 to 6 weeks,"4,000 cedis plus overtime allowance",2 years contract,"25,000 cedis",
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,QATAR,Work,Cleaners,Passport,4 to 6 weeks,"3,500 to 5,000 cedis plus overtime allowance",2 years contract,"25,000 cedis",
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,QATAR,Work,Washing bay,Passport,4 to 6 weeks,"3,500 to 5,000 cedis plus overtime allowance",2 years contract,"25,000 cedis",
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,USA,Work,Certified and Registered nurses,Passport,3 to 4 months,"2,000 USD to 5,000 USD",2 years contract,"11,000 USD",Ticket and Accomodation covered
,,,House keeping,Passport photo,,,,,Mandatory deposit of 2500 US dollars
,,,Security guards,,,,,,The remaining 8500 USD must be in a joint accout
,,,Intrecontinental chef,,,,,,
,,,,,,,,,
,,,,,,,,,
,ALBANIA,Direct employment,Cleaners,Passport,4 to 6 weeks,800 to 900 euros plus allowance,2 years contract,,Work visa
,,,Delivery riders,Passport picture,,,,,Residence permit
,,,Restaurant workers,Ghana card,,,,,Ticket
,,,Hotel workers,,,,,,"Job, Accommodation"
,,,Warehouse,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,DUBAI,                                               Work  ,Dispatch riders,Passport,,,,,
,,,,Passport picture with white background,,,,,
,,,,Medicals,,,,,
,,,,Police clearance,4 to 6 weeks,"5,000 cedis before Sira",2 years contract,,
,,,,Video of introduction,,"8,000 to 10,000 cedis after Sira plus overtime allowance",,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,DUBAI ,Work,Security guards,Passport,4 to 6 weeks,"5,000 cedis before Sira",2 years contract,,
,,,,Passport picture,,"8,000 to 10,000 cedis after Sira plus overtime allowance",,,
,,,,Medicals,,,,,
,,,,Police clearance,,,,,
,,,,Video of introduction,,,,,
,,,,,,,,,
,,,,,,,,,
,DUBAI,Work,POEN POSITIONS,Passport,6 to 8 weeks,"4,852 aed (20,000 cedis) to 6,000 aed (25,000 cedis)",2 years contract,"45,000 cedis",Residence permit
,,,English teacher,Passport picture,,,,,Medical insurance
,,,Music teacher,Certificates,,,,,Accommodation
,,,Islamic studies teacher,Medicals,,,,,2 years contract
,,,Mathematics teacher,Police clearance,,,,,
,,,Arabic teacher,Video of teaching,,,,,
,,,SEN teacher,,,,,,
,,,KG teacher,,,,,,
,,,Heads of KG and primary,,,,,,
,,,,,,,,,
,,,,,,,,,
,SERBIA,Work,"Masons, Carpenter",Passport,4 to 6 weeks,,,"8,000 cedis",Work visa
,,,"Painters, Tilers",Passport picture,,,,"78,000 cedis remainder to pay when visa is ready",Residence permit
,,,"Steel binder, Pop",Video of their job,,,,,Ticket
,,,"Welder, Cleaning, Electrician",Mandatory form to fill,,,,,Job
,,,"Driver, Truck driver, Mechanic",School certificate,,,,,Acommodation
,,,,,,,,,
,BRAZIL,"Visitors, Visa",,Passport,4 to 6 weeks,,,,
,,,,Passport picture,,,,,
,,,,,,,,,
,,,,,,,,,
,JAPAN,Visit\Work,,Passport,4 to 6 weeks,,,"80,000 cedis",Visa
,,,,Passport picture,,,,,Flight ticket
,,,,Birth certificate,,,,,Job
,,,,,,,,,Accommodation
,,,,,,,,,
,,,,,,,,,
,CANADA,"Visitors, Visa",,Passport,2 to 3 weeks ,,,"10,000 cedis remaining 40,000 cedis when visa is issued",
,,,,Birth certificate ,,,,,
,,,,Ghana card,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,DUBAI,Work,,Passport,,1800 diahams,2 years contract,"16,000 cedis",
,,,,Passport photo,,,,,
,,,,Medicals,,,,,
,,,,CV,,,,,
,,,,Academic certificate,,,,,
,,,,,,,,,
,,,,,,,,,
,GERMANY,SCHOOL,UNDERGRADUATES,Certificate,1 to 5 business day (s),,,"Admission stage(1 to 3 days admission will be ready) initial tuition deposit after admission 3,000 euros",
,,,,"CV, Transcipt",,,,,
,,,,Result checker,,,,,
,,,,2 recommendation letters,,,,,
,,,,,,,,,
,,,MASTERS AND PhD,,,,,,
,,,English taught programs,,,,,,
,,,Partial schoolarship for some programs,certificate,,,,"4,000 euros (blocked account)",
,,,payment of discounted fees ,transcript,,,,,
,,,even in 10 instal lments ,cv and 2 recommendation,,,,,
,,,our partnered school will ,letters,,,,,
,,,give you part time work,,,,,,
,,,your family can join you ,,,,,,
,,,highly discounted assistance,,,,,,
,,,for blocked account,,,,,Visa application stage,
,,,post graduate work permit,,,,,Embassy and flight cost,
,,,posibility of permanent ,,,,,"60,000 cedis with the current euro rate",
,,,residence/EU blue card ,,,,,"Total cost including flight 140,000 cedis",
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,JAPAN,Work,,Passport copy,3 to 4 months,,,"70,000 cedis (you buy your own ticket)",Accommodation will be provided
,,,,Degree certificate,,,,,
,,,,Transcript,,,,,
,,,,English proficiency letter,,,,,
,,,,2 recommendation letters,,,,,
,,,,CV,,,,,
,,,,Police clearance,,,,,
,,,,Short self introductory video,,,,,
,,,,TOEFL or IELTS certificate,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,RUSSIA,Visit\Work,Warehouse,Passport,2 to 3 months,,,15000 USD,Accommodation will be provided
,,,Job,Passport photo,,,,,
,,,Factory,Birth certificate,,,,,
,,,General helper,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,JAPAN ,Visit \Work,"Only visa 50,000 cedis account",Passport,2 to 3 weeks ,,,,
,,"Ticket and temporal accommodation (90,000 cedis)",,Passport photo,,,,,
,,,,Birth certificate,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,SOUTH KOREA,                                             Work,BARBERS,Passport ,4 to 6 weeks ,,,,Visa
,,,,Passport picture,,,,,Job
,,,,,,,,,Accommodation
,,,,,,,,,Flight ticket
,,,,,,,,,
,,,,,,,,,
,DUBAI,Work,Passport,Passpoprt,4 to 6 weeks,1900 AED,,,
,,,Passport picture,Passport picture,,,,,
,,,,Medicals,,,,,
,,,,Full body picture,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,JAPAN,Visit\Work,,,4 to 6 weeks,,,,"Visa,Job"
,,,,,,,,,Accommodation
,,,,,,,,,Flight ticket
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,UK CONFERENCE,"visitors, Visa",,Passport ,4 weeks,,,,
,,,,Passport picture,,,,,
,,,,birth certificate,,,,,
,,,,non refundable deposit,,,,,
,,,,"for conference fee, visa",,,,,
,,,,fee and documentations,,,,,
,,,,"(6,000 cedis)",,,,,
,,,,"5,000 pounds",,,,,
,,,,(joint account or you,,,,,
,,,,must show a verifiable ,,,,,
,,,,proof of your financial,,,,,
,,,,capability,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,NETHERLANDS,Work,,passport,1 to 2 months,,,"4,000 euros charge when visa is issued, deposit 8,000 cedis, you will pay a visa fee (90 Euros during submission)",covers flight ticket
,,,,ghana card,,,,,
,,,,birth certificate,,,,,
,,,,children birth cert,,,,,
,,,,marriage certificate,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,Drivers,,,,,,
,QATAR,work,Cleaners,passport bio-page,4 to 6 weeks,1400 qr plus food allowance (300 qr),,"20,000 cedis cover ticket",acommodation
,,,Security,passport pic,,,,,medical insurance
,,,,full body pic,,,,,
,,,,medicals,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,NETHERLANDS,Work,,passport,1to 2 months,,,joint account,
,,,,ghana card,,,,you will pay a visa ,
,,,,birth certificate,,,,fee (euros 90 during,
,,,house-keepers ,,,,,submission),
,,,,,,,,,
,QATAR,work,,passport bio- page,4 weeks,"1300 qr(as at now 3,726 cedis)",,"6,000 cedis",acommodation
,,,,passport pic ,,,,,medical insurance
,,,,full body pic,,,,,ticket covered
,,,fitness instructors,medicals,,,,,
,,,,,,,,,
,SAUDI ARABIA,work,,passport,4 weeks,"the base salary range is set between USD 1,350 and USD 2,000 per month",,"16,000 cedis including medicals",
,,,Fitness instructors,CV,,,,,
,,,,a video of your training,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,DUBAI  ,work ,Cold store,passport,4 to 6 weeks ,1000 to 1200 aed,,"11,000 cedis",
,,,Cleaners,Passport picture,,,,,
,,,,Medicals ,,,,,
,,,,,,,,,
,,,,,,,,,
,DUBAI ,work,Barbers,Passport,2 to 4 weeks,"1500 to 1800 AED (4,265.68 to 5,118.82 cedis)",,"22,000 cedis",
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,SOUTH AFRICA,work,Cleaners,Passport,,"13,579.35 Rand (8,000 cedis plus overtime)",,"24,000 cedis (covers flight ticket)",Accommodation
,,,Barbers,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,Mechanics,,,,,,
,AUSTRALIA ,work,Drivers,A form to be completely filled,starts on the 30 July 2025,,,"120,000 cedis (the first deposit 10,000 cedis)",
,,,Plumbers,Legal documents must be signed and consented to,,,,"sedcond deposit, 50,000 cedis right after submission",Accomodation provided
,,,Electricians,Passport,,,,"Remaining 60,000 cedis after visa is issued",Ticket covered
,,,Peasants farmers,Passport pic,,,,,
,,,Security guards,Ghana ID card,,,,,
,,,Fashion designers,Birth certificate,,,,,
,,,Caterers,,,,,,
,,,House helps,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,SPAIN SCHENGEN,Work,SHS,Passport,3 to 4 months,,,,
,,,DIPLOMA,Birth certificate,,,,"Deposit 12,000 cedis",
,,,DEGREE HOLDERS,Passport picture,,,,service charge - 8000 Euros,
,,,,Ghana card ,,,,,
,,,,School certificate,,,,,
,,,,Transcript,,,,,
,,,,,,,,,
,,,,,,,,,
,ISRAEL ,"Visitors, Visa",,Passport ,"deadline 17th August, 2025",,,,
,JOINT ACCOUNT,,,Passport picture,"departure first week of October, 2025",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,SAUDI ARABIA,work,Professional Airport Drivers,passpport,4 weeks,"4,200 cedis equivalence",,"service charge - 15,000 cedis",
,,,,passport picture,,,,,
,,,,medical report,,,,,
,,,,police report,,,,,
,,,,driving licence (B) and above,,,,,
,,,,,,,,,
,QATAR,work,Fuel pump attendant,CV,3 to 5 weeks,1000QR+OT,,"13,000 cedis (only visa)",
,,,,Passport copy,,,,You buy your own one-way ticket,FREE FOOD
,,,,Passport picture,,,,,Free accommodation
,,,,Age limit 22 to 28 years,,,,,Free transportation to work
,,,,"Applicant must be able to speak, read and write good English",,,,,Free laundry
,,,,,,,,,Health insurance
,,,,,,,,,
,QATAR,work,CONSTRUCTION WORKERS,Passport,3 to 5 weeks ,Salary for artisans - 1800 qar,,"26,0000 cedis",VISA
,,,Masons,Medicals,,Salary for helpers - 1300 qar,,,TICKET
,,,Carpenter,Passport pic,,,,,
,,,Plumbers,,,,,,
,,,,,,,,,
,,,,,,,,,
,ISRAEL,"Work, Visit",,Passport,Departure first week of October,,joint account,60000 cedis,
,,,,Passport picture,,,,,Jobs assistance available upon arrival
,,,,,,,,,"NB: This is a visit to work, you will buy your own ticket"
,,,,,,,,,
,,,,,,,,,
,RUSSIA,STUDY,BACHELORS AND,Passport,Departure: next month september,,,"5,000 cedis deposit, you will pay visa fee during  submission",
,,,MASTERS,Wassce certificate or higher for bachelors,,,,"remaining: 30,000 cedis after visa is issueid",
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,RUSSIA,WORK,Warehouse job,,,1000 to 1500 dollars (overtime allowance applicable),,10000 deposit,
,,,Factory general helper,,,,,"Remaining: 35,000 cedis",Accommodation will be provided
,,,,,,,,,
,,,,,,,,,
,USA,DIPLOMATIC PTCL,,Joint account,"Departure: 16th september, 2025",,,,
,,,,Passport( both soft and hard copy),,,,,
,,,,Passsport picture (US standard),,,,,
,,,,,,,,,
